code,system
53.13,ICD9 Diagnosis
349.9,ICD9 Diagnosis
354.2,ICD9 Diagnosis
355.8,ICD9 Diagnosis
356.4,ICD9 Diagnosis
356.8,ICD9 Diagnosis
356.9,ICD9 Diagnosis
357.1,ICD9 Diagnosis
357.6,ICD9 Diagnosis
357.7,ICD9 Diagnosis
357.9,ICD9 Diagnosis
B02.23,ICD9 Diagnosis
G56.90,ICD9 Diagnosis
G57.91,ICD9 Diagnosis
G58.0,ICD9 Diagnosis
G60.3,ICD9 Diagnosis
G60.8,ICD9 Diagnosis
G60.9,ICD9 Diagnosis
G62.0,ICD9 Diagnosis
G62.2,ICD9 Diagnosis
G62.9,ICD9 Diagnosis
G63,ICD9 Diagnosis
G90.09,ICD9 Diagnosis
G96.9,ICD9 Diagnosis
293,ICD9 Diagnosis
293.9,ICD9 Diagnosis
294.9,ICD9 Diagnosis
F05,ICD9 Diagnosis
F06.8,ICD9 Diagnosis
298.9,ICD9 Diagnosis
F29,ICD9 Diagnosis
300.11,ICD9 Diagnosis
345.1,ICD9 Diagnosis
345.4,ICD9 Diagnosis
345.5,ICD9 Diagnosis
345.8,ICD9 Diagnosis
345.81,ICD9 Diagnosis
3.459,ICD9 Diagnosis
780.39,ICD9 Diagnosis
F44.5,ICD9 Diagnosis
G40.%,ICD9 Diagnosis
R56.9,ICD9 Diagnosis
323.81,ICD9 Diagnosis
323.82,ICD9 Diagnosis
323.9,ICD9 Diagnosis
730.07,ICD9 Diagnosis
730.18,ICD9 Diagnosis
730.2,ICD9 Diagnosis
730.25,ICD9 Diagnosis
730.7,ICD9 Diagnosis
G04.81,ICD9 Diagnosis
G04.89,ICD9 Diagnosis
G04.90,ICD9 Diagnosis
G04.91,ICD9 Diagnosis
M86.072,ICD9 Diagnosis
M86.179,ICD9 Diagnosis
M86.279,ICD9 Diagnosis
M86.8X8,ICD9 Diagnosis
M86.9,ICD9 Diagnosis
M89.60,ICD9 Diagnosis
354.5,ICD9 Diagnosis
354.8,ICD9 Diagnosis
355.9,ICD9 Diagnosis
G56.80,ICD9 Diagnosis
G57.90,ICD9 Diagnosis
G58.7,ICD9 Diagnosis
G58.9,ICD9 Diagnosis